This file was generated by Console at 2021:05:30-00:00:02



[2021:05:30-00:06:21]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: yo lo elevo un poquito
[2021:05:30-00:06:22]  (Local) -> (LOCAL)[3]H|ol|a: a xd
[2021:05:30-00:06:26]  ([Msg] de #666000JuanPablo'2cb para MMMMMM|||||||||||||||!: szs le voy a devolver eso me acabe de dar cuenta q vale 800k :V) -> nil
[2021:05:30-00:06:30]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: y usted le da doble salto
[2021:05:30-00:06:31]  (Local) -> (LOCAL)[1]Beherit: que?
[2021:05:30-00:06:32]  (Global) -> bblin^Z|#000000í µí³©: #FF0000 Ê˜â€¿Ê˜?
[2021:05:30-00:06:35]  (Global) -> dilan.carti'cdg|#A016EFí ½í¸ˆ: #666000JuanPablo'2cb[2]
[2021:05:30-00:06:37]  (Local) -> (LOCAL)[2]Dua|2cB|: ._.
[2021:05:30-00:06:38]  (Global) -> JuanPablo'2cb|#9E016Cà¶ž: dilan.carti'cdg[MP]
[2021:05:30-00:06:38]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: espere
[2021:05:30-00:06:40]  (Local) -> (LOCAL)[1]bblin^Z: NO SBAIA QUE ERA TAN RAPIDA XD
[2021:05:30-00:06:40]  (Local) -> (LOCAL)[2]CareXhimbaaawZcb: ola
[2021:05:30-00:06:42]  (Global) -> dilan.carti'cdg|#A016EFí ½í¸ˆ: DONDE ESTA
[2021:05:30-00:06:43]  (Local) -> (LOCAL)[1]OMAR25.ZETAS: se murio la moto
[2021:05:30-00:06:43]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00ColombiaHumana: no bajese
[2021:05:30-00:06:44]  (Local) -> (LOCAL)[1]Ninja: como asi doble salto
[2021:05:30-00:06:46]  (Global) -> JuanPablo'2cb|#9E016Cà¶ž: ammunation
