This file was generated by Console at 2021:04:21-00:00:10



[2021:04:21-00:04:16]  (Local) -> (LOCAL)[23]Mnrpatecumbias'LPxELN: no me banees
[2021:04:21-00:04:17]  (Local) -> (LOCAL)[23]#7F7F7F|ADM|#FF5C00KevinOcampo: su hermana es mi novia
[2021:04:21-00:04:19]  (Global) -> oyth.pxp'2cb:  ͜°ʖ°?
[2021:04:21-00:04:19]  (Global) -> nikolas_lopez: ADMIIIIIIIIIIIN
[2021:04:21-00:04:20]  (Local) -> (LOCAL)[23]MiguelPoloPolo->AUC: curioso
[2021:04:21-00:04:20]  (Local) -> (LOCAL)[23]Sofia|ELN: sale wn
[2021:04:21-00:04:21]  (Local) -> (LOCAL)[23]Mnrpatecumbias'LPxELN: a
[2021:04:21-00:04:21]  (Global) -> oyth.pxp'2cb: #ff00ffᴠᴀɪ ᴘʀᴀ#32CD32ᴏɴᴅᴇ ᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋ
[2021:04:21-00:04:22]  (Local) -> (LOCAL)[23]HokaBigCock: venga
[2021:04:21-00:04:23]  (Global) -> Oconner|2cb: #00ff00 hasta dodne hay q ir
[2021:04:21-00:04:25]  (Global) -> Diego;([ELN]: laser
[2021:04:21-00:04:26]  (Local) -> (LOCAL)[24]MiguelPoloPolo->AUC: Curiosoooooooooooooooooooooooooooooooooooooo
[2021:04:21-00:04:26]  (Global) -> nikolas_lopez: ADMOOOOOOOOOOOOOON
[2021:04:21-00:04:27]  (Local) -> (LOCAL)[24]#7F7F7F|ADM||LG|#FF5C00CuriosoBronceII|CAPU: Hola
[2021:04:21-00:04:28]  (Local) -> (LOCAL)[24]!PsIcKo?ELN: hpta capu
[2021:04:21-00:04:28]  (Local) -> (LOCAL)[24]Maracachafa|Z|: klk
[2021:04:21-00:04:30]  (Local) -> (LOCAL)[24]!PsIcKo?ELN: bañese
[2021:04:21-00:04:30]  (Global) -> nikolas_lopez: ADMIIIIIIIIIIIN
