This file was generated by Console at 2020:10:15-00:00:03



[2020:10:15-00:08:07]  (Global) -> 2cb'betobullicio: ponga el hud bobo hpta
[2020:10:15-00:08:09]  (Team - Services) -> (TEAM)[S.A.S][S]Drogota: en las roja tiene que esperar como 10 seg
[2020:10:15-00:08:09]  (Global) -> 2cb'JuanPablo: mira disc
[2020:10:15-00:08:10]  (Global) -> [Z]_VALLUNITO_: semds
[2020:10:15-00:08:11]  (Local) -> (LOCAL)[17]2cb'Python: uy q
[2020:10:15-00:08:14]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: ey pq no me puedo maver
[2020:10:15-00:08:15]  (Global) -> 2cb'betobullicio: ya lo vi wbon
[2020:10:15-00:08:16]  (Local) -> (LOCAL)[17]Jabon: ey berna tuneame el carro
[2020:10:15-00:08:17]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: q paso valluno
[2020:10:15-00:08:18]  (Global) -> [Z]_VALLUNITO_: regaleme 2 lvl de su staff
[2020:10:15-00:08:18]  (Global) -> (BGW)Mohamed: yo soy costeño :/
[2020:10:15-00:08:19]  (Global) -> 2cb'diilan: como q sem es rolo vida hp me voy a sucidar
[2020:10:15-00:08:19]  (Global) -> JuanConG: que hay pa hacer?
[2020:10:15-00:08:22]  (Global) -> 2cb'betobullicio: admas ese noes problema
[2020:10:15-00:08:22]  (Local) -> (LOCAL)[16]Jabon: igual al tuyo sapa
[2020:10:15-00:08:25]  (Global) -> 2cb'betobullicio: seguro lo puso
[2020:10:15-00:08:29]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: aaa
[2020:10:15-00:08:30]  (Global) -> 2cb'betobullicio: pa escusarse
[2020:10:15-00:08:32]  (Global) -> JuanConG: a quien hay que matar?
[2020:10:15-00:08:40]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: UD SOLO
[2020:10:15-00:08:41]  (Global) -> [S.A.S][C]JONS: semds eres level 4
[2020:10:15-00:08:43]  (Global) -> 2cb'JuanPablo: no se ve ni la mira cuando apunto ;-:
[2020:10:15-00:08:44]  (Global) -> herreblos.: ey semds+
[2020:10:15-00:08:46]  (Local) -> (LOCAL)[18]GT|Jhojan: FRANsisco
[2020:10:15-00:08:48]  (Global) -> rocho: mlp mapeos los tuyos sem
[2020:10:15-00:08:50]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: QQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQ
[2020:10:15-00:08:51]  (Global) -> [Z]_VALLUNITO_: semds lvl 5
[2020:10:15-00:08:52]  (Local) -> (LOCAL)[18]GT|Jhojan: ME VA A HACER UN FAVOR
[2020:10:15-00:08:52]  (Global) -> [S.A.S][C]JONS: felicitaciones pana
[2020:10:15-00:08:57]  (Global) -> herreblos.: oe semds
[2020:10:15-00:08:57]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF00002cBerna: me mato esa moto XD
[2020:10:15-00:08:58]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: la lvl 5 es guaracha
[2020:10:15-00:09:02]  (Global) -> rocho: :0
[2020:10:15-00:09:03]  (Global) -> Johan_Orjuela: OIGA DAVID CHAMPU
[2020:10:15-00:09:04]  (Local) -> (LOCAL)[17]Jabon: aa
[2020:10:15-00:09:06]  (Team - Services) -> (TEAM)jiitwas245: ya vuelbo
[2020:10:15-00:09:06]  (Team - Services) -> (TEAM)[Z]_VALLUNITO_: ey guaracha
[2020:10:15-00:09:06]  (Global) -> herreblos.: oe semds
[2020:10:15-00:09:06]  (Global) -> 2cb'JuanPablo: me toca habllar por f8
[2020:10:15-00:09:07]  (Local) -> (LOCAL)[1]2cb'betobullicio: nah ste men las kito para las excusas pq no puede sin shawn off
[2020:10:15-00:09:09]  (Local) -> (LOCAL)[17]Jabon: tuneame la nave
[2020:10:15-00:09:10]  (Local) -> (LOCAL)[17]2cb'diilan: subdito recluta pros
[2020:10:15-00:09:11]  (Local) -> (LOCAL)[17]#7F7F7F|CVR|#FF00002cBerna: vea
[2020:10:15-00:09:13]  (Global) -> [ZETAS]Tartarus: XD
[2020:10:15-00:09:14]  (Local) -> (LOCAL)[5]pipo: 2 y no me pegan ni uno
[2020:10:15-00:09:16]  (Global) -> 2cb'diilan: subdito recluta pros
[2020:10:15-00:09:16]  (Local) -> (LOCAL)[7]pipo: :v
[2020:10:15-00:09:16]  (Local) -> (LOCAL)[1][Z]XhnGuaracha: GRASIAS AJSDJADSJASJD
[2020:10:15-00:09:19]  (Global) -> Johan_Orjuela: DAVID CHAMPU REPARTE CULO EN LA CARACAS
[2020:10:15-00:09:19]  (Local) -> (LOCAL)[18]Jabon: AAaaa
[2020:10:15-00:09:22]  (Local) -> (LOCAL)[19]#7F7F7F|CVR|#FF00002cBerna: la cago
[2020:10:15-00:09:22]  (Global) -> 2cb'diilan: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[2020:10:15-00:09:24]  (Global) -> [ZETAS]Tartarus: JAJJAJAJJAJA
[2020:10:15-00:09:25]  (Local) -> (LOCAL)[18]Jabon: qn
[2020:10:15-00:09:25]  (Global) -> #7F7F7F|CVR|#FF7C00 _SEMDS_: toda encartada
