This file was generated by Console at 2020:10:24-00:00:00



[2020:10:24-00:05:08]  (Local) -> (LOCAL)[7]GT'Mnrpatecumbias'LP: ey
[2020:10:24-00:05:08]  (Global) -> [C.D.S]AlexanderM: que ptas paswo con las casas?
[2020:10:24-00:05:11]  (Local) -> (LOCAL)[7]GT'Mnrpatecumbias'LP: dejen entrenar
[2020:10:24-00:05:12]  (Local) -> (LOCAL)[2](EVG)TU_DIOSA: ajam
[2020:10:24-00:05:13]  (Global) -> [GT]LEANDRO: algun taxi o uber
[2020:10:24-00:05:13]  (Global) -> [C.D.S]AlexanderM: las quitaron?
[2020:10:24-00:05:13]  (Global) -> Sebas0Copeo: No encuetnro un lado para salir
[2020:10:24-00:05:14]  (Global) -> 2cb'JuanPablo: sapo
[2020:10:24-00:05:16]  (Local) -> (LOCAL)[1]2cb'Royal: a >:c
[2020:10:24-00:05:17]  (Local) -> (LOCAL)[7]|GT|~SelfMade: dejem sano juan pablo.
[2020:10:24-00:05:20]  (Local) -> (LOCAL)[7]|GT|stivenv28'LP: pana
[2020:10:24-00:05:20]  (Global) -> Sebas0Copeo: estoy en el agua
[2020:10:24-00:05:22]  (Global) -> #7F7F7F|CVR|#FFFF00[EVG]CrudoMeansRaw: Salir de que
[2020:10:24-00:05:25]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: naa para que se cae 
[2020:10:24-00:05:28]  (Local) -> (LOCAL)[1]2cb'Royal: /lock
[2020:10:24-00:05:28]  (Global) -> [GT]LEANDRO: algun taxi o uber
[2020:10:24-00:05:28]  (Local) -> (LOCAL)[1]PapuCaliche: qando ud vea q cejon haga streams el rifa por ahí 3 vips
[2020:10:24-00:05:29]  (Global) -> JhonatanTree: manos arriba
[2020:10:24-00:05:30]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: dele /kill
[2020:10:24-00:05:30]  (Local) -> (LOCAL)[1]2cb'Royal: a
[2020:10:24-00:05:30]  (Local) -> (LOCAL)[9]|GT|~SelfMade: veo no sea asi chino
[2020:10:24-00:05:32]  (Local) -> (LOCAL)[12]|GT|stivenv28'LP: pana
[2020:10:24-00:05:33]  (Global) -> LOKILLO: porque desde que tneog el vip tnego tanto alg no me deja activar lso mdos proque em da mucho lag
[2020:10:24-00:05:33]  (Local) -> (LOCAL)[13]|GT|stivenv28'LP: pana
[2020:10:24-00:05:34]  (Global) -> Sebas0Copeo: Me tumbaron
[2020:10:24-00:05:35]  (Local) -> (LOCAL)[11]2cb'ratix: xd
[2020:10:24-00:05:36]  (Local) -> (LOCAL)[1]PapuCaliche: si me gano un evento se lo doy a ud
[2020:10:24-00:05:37]  (Local) -> (LOCAL)[6][GT]soplacucas: jsjs estonces por hay pirobos que lo persiguen a uno una linea roja
[2020:10:24-00:05:37]  (Global) -> Delayici: como hago para quitar el mouse de la pantalla y poder caminar??
[2020:10:24-00:05:40]  (Global) -> kpinto12: uber
[2020:10:24-00:05:40]  (Global) -> Delayici: ando bug
[2020:10:24-00:05:40]  (Global) -> Sebas0Copeo: me estrellaron y cai
[2020:10:24-00:05:41]  (Local) -> (LOCAL)[13]|GT|stivenv28'LP: pana
[2020:10:24-00:05:41]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: vea
[2020:10:24-00:05:43]  (Global) -> #7F7F7F|CVR|#0064FFZllanerito: dale M
[2020:10:24-00:05:43]  (Local) -> (LOCAL)[13]|GT|~SelfMade: dejeme vivir mi libertad.
[2020:10:24-00:05:44]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: uyy gracias
[2020:10:24-00:05:47]  (Global) -> GT/MiguelM: BUENAS
[2020:10:24-00:05:49]  (Local) -> (LOCAL)[1]2cb'Royal: XD
[2020:10:24-00:05:49]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: pvp con franco?
[2020:10:24-00:05:51]  (Global) -> Delayici: yy
[2020:10:24-00:05:52]  (Global) -> [GDT]SmoK: (´ヮ` )
[2020:10:24-00:05:52]  (Local) -> (LOCAL)[13]|GT|stivenv28'LP: pan
[2020:10:24-00:05:53]  (Global) -> kpinto12:  para adonde
[2020:10:24-00:05:53]  (Global) -> LOKILLO: porque desde que tneog el vip tnego tanto alg no me deja activar lso mdos proque em da mucho lag
[2020:10:24-00:05:53]  (Local) -> (LOCAL)[1]PapuCaliche: bno
[2020:10:24-00:05:54]  (Local) -> (LOCAL)[4]MR.MCLOVIN007: vamos por chaleko
[2020:10:24-00:05:54]  (Global) -> Delayici: tyyy
[2020:10:24-00:05:55]  (Global) -> #7F7F7F|CVR|#0064FFZllanerito: ya?
[2020:10:24-00:05:55]  (Local) -> (LOCAL)[12]|GT|stivenv28'LP: pana
[2020:10:24-00:05:58]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: a punta de noscor?
[2020:10:24-00:05:58]  (Global) -> kpinto12: con g
[2020:10:24-00:06:00]  (Global) -> Delayici: sisa, gracias
[2020:10:24-00:06:01]  (Local) -> (LOCAL)[13]2cb'ratix: XD
[2020:10:24-00:06:03]  (Global) -> Delayici: con m me dio
[2020:10:24-00:06:03]  (Local) -> (LOCAL)[1]PapuCaliche: como sea
[2020:10:24-00:06:05]  (Global) -> #7F7F7F|CVR|#0064FFZllanerito: bueno
[2020:10:24-00:06:07]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: ale
[2020:10:24-00:06:08]  (Team - Services) -> (TEAM)[GT]soplacucas: ya
[2020:10:24-00:06:09]  (Global) -> kpinto12: par donde
[2020:10:24-00:06:10]  (Global) -> JhonatanTree: como se habla por micro
[2020:10:24-00:06:10]  (Global) -> GT/MiguelM: Al amunnation de san fierro porfa
[2020:10:24-00:06:11]  (Local) -> (LOCAL)[1]PapuCaliche: curese primero
[2020:10:24-00:06:12]  (Global) -> #7F7F7F|CVR|#FF8C00ReizerB: LOKILLO nea no se , eso no le pasa a nadie mas 
[2020:10:24-00:06:12]  (Global) -> la_pulga: ola
[2020:10:24-00:06:15]  (Local) -> (LOCAL)[12]|GT|~SelfMade: juan pablo cabeza de monda
