This file was generated by Console at 2020:09:25-00:00:01



[2020:09:25-00:04:25]  (Local) -> (LOCAL)[1]2cb'Q'Piskero: vamos pa una ksa
[2020:09:25-00:04:26]  (Local) -> (LOCAL)[3]2cB*PipeHpta: q
[2020:09:25-00:04:27]  (Local) -> (LOCAL)[4]2cb'JuanPablo: veo rolo
[2020:09:25-00:04:27]  (Global) -> (BGW)camilop202: STAFF
[2020:09:25-00:04:28]  (Global) -> [$BABY$]~La_Loli~: ando relag
[2020:09:25-00:04:29]  (Global) -> 2cb'Q'Piskero: tele grove
[2020:09:25-00:04:29]  (Global) -> PunySnake51: COMO VENDO UN VEICULO ROBADO
[2020:09:25-00:04:30]  (Global) -> [Z]MrAguacate: jajajaja
[2020:09:25-00:04:30]  (Global) -> #7F7F7F|CVR|Zllanerito: que paso camilo
[2020:09:25-00:04:36]  (Global) -> [$BABY$]~La_Loli~: esos eprays
[2020:09:25-00:04:36]  (Local) -> (LOCAL)[1](SEGURIDAD)LOKILLO: nea
[2020:09:25-00:04:36]  (Global) -> (BGW)camilop202: ESPTEME BBE
[2020:09:25-00:04:38]  (Local) -> (LOCAL)[1]2cb'Willow: /stopanjimn
[2020:09:25-00:04:39]  (Global) -> Satania: pidale ayuda a semds staff
[2020:09:25-00:04:39]  (Global) -> (BGW)camilop202: ANDO BUG
[2020:09:25-00:04:40]  (Global) -> [$BABY$]~La_Loli~: LLANERITOOOO
[2020:09:25-00:04:43]  (Local) -> (LOCAL)[3]ZetasValeria: vamos por la foto
[2020:09:25-00:04:45]  (Global) -> (CTA)Jot4: apenas llevo jugando hoy mk jakjakajkja
[2020:09:25-00:04:45]  (Team - Criminals) -> (TEAM)2cB'Rolo: oe entonces
[2020:09:25-00:04:45]  (Global) -> #7F7F7F|CVR|Zllanerito: dime la loli
[2020:09:25-00:04:46]  (Team - Services) -> (TEAM)[CAPU]Santi:): hhdhhhhdhhw
[2020:09:25-00:04:46]  (Global) -> [Z]VALLUNITXS_DEEJAY: Gente
[2020:09:25-00:04:49]  (Global) -> (CTA)Jot4: la plena no se 
[2020:09:25-00:04:50]  (Global) -> GTJhojan: cadabra matando trabajadores
[2020:09:25-00:04:51]  (Global) -> PunySnake51: JAJAJAJA
[2020:09:25-00:04:51]  (Global) -> [$BABY$]~La_Loli~: TENGO QUE HABALRTE
[2020:09:25-00:04:53]  (Local) -> (LOCAL)[1]2cb'Willow: yo toco
[2020:09:25-00:04:53]  (Global) -> [Z]MrAguacate: oe vamos
