This file was generated by Console at 2020:12:15-00:00:01



[2020:12:15-00:03:29]  (Local) -> (LOCAL)[9]Jotapopo: sik
[2020:12:15-00:03:32]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: no se
[2020:12:15-00:03:32]  (Local) -> (LOCAL)[4]Ragnarok: el punto es que quiero unirme a la gang
[2020:12:15-00:03:33]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFXhnGuaracha: dime Crudito
[2020:12:15-00:03:34]  (Local) -> (LOCAL)[9]Jotapopo: xd
[2020:12:15-00:03:35]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLlanerito: el de la copa psiton
[2020:12:15-00:03:35]  (Local) -> (LOCAL)[6]LocaHp: tiresen cualquier eventico
[2020:12:15-00:03:36]  (Local) -> (LOCAL)[1]AK|Fear: en donde queda el camello
[2020:12:15-00:03:44]  (Local) -> (LOCAL)[5]2cb'CVR: escriba eso q escribio pancho jajajja
[2020:12:15-00:03:45]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: ayer no lo pudiste hacer al fin?
[2020:12:15-00:03:46]  (Global) -> jaime:  szs en la terminal o
[2020:12:15-00:03:48]  (Local) -> (LOCAL)[4]LocaHp: para animar el cv
[2020:12:15-00:03:49]  (Local) -> (LOCAL)[1]AK|Fear: en busetero
[2020:12:15-00:03:51]  (Local) -> (LOCAL)[1]AK|Fear: sisas ahi
[2020:12:15-00:03:51]  (Local) -> (LOCAL)[4]LocaHp: sv
[2020:12:15-00:03:52]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFLlanerito: uno
[2020:12:15-00:03:53]  (Local) -> (LOCAL)[1]AK|Fear: hagale
[2020:12:15-00:03:59]  (Global) -> |AK|PANCHO: QUE ES
[2020:12:15-00:04:03]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: /nick 2cb'
[2020:12:15-00:04:03]  (Team - Services) -> (TEAM)jaime: hagale bien
[2020:12:15-00:04:04]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: jajaja breve
[2020:12:15-00:04:06]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: ps si queres
[2020:12:15-00:04:08]  (Local) -> (LOCAL)[1]AK|Fear: hagale nos vemos alla
[2020:12:15-00:04:14]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: jolyne te van akickear
[2020:12:15-00:04:14]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFXhnGuaracha: a mi me gusto el de
[2020:12:15-00:04:19]  (Local) -> (LOCAL)[4]2cb'CVR: cooooooomo q el patron se rcluto uno
[2020:12:15-00:04:20]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFXhnGuaracha: carrera de karts en akina
[2020:12:15-00:04:21]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00Orgalor: oes nada q se quita el cvr
[2020:12:15-00:04:26]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFXhnGuaracha: qn
[2020:12:15-00:04:26]  (Local) -> (LOCAL)[6]LocaHp: qn?
[2020:12:15-00:04:26]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Orgalor: si
[2020:12:15-00:04:29]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFLlanerito: ya le cambie el nombre xde
[2020:12:15-00:04:30]  (Local) -> (LOCAL)[4]2cb: pq me van a kickear
[2020:12:15-00:04:30]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00Orgalor: el 2cb cvr
[2020:12:15-00:04:31]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00CrudoMeansRaw: ya fue donde el man?
[2020:12:15-00:04:32]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#0064FFLlanerito: ese vago que
[2020:12:15-00:04:33]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF00002cb'tussy: pirobo orgalor si es odioso
[2020:12:15-00:04:33]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00Orgalor: no da
[2020:12:15-00:04:35]  (Global) -> 2cb: aaaaaaa perdon
