This file was generated by Console at 2020:11:16-00:00:00



[2020:11:16-00:07:57]  (Local) -> (LOCAL)[1]Z|tayson: chao
[2020:11:16-00:07:57]  (Global) -> Serko: como se raya aca xd
[2020:11:16-00:07:58]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: agale
[2020:11:16-00:07:58]  (Global) -> sofia: vas a subir
[2020:11:16-00:07:59]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: me lleva al banco?
[2020:11:16-00:08:01]  (Local) -> (LOCAL)[2]CapuLiso: parceiro
[2020:11:16-00:08:03]  (Local) -> (LOCAL)[1][Z]Diego1FPS: VMZ
[2020:11:16-00:08:04]  (Local) -> (LOCAL)[2]CapuLiso: ud q
[2020:11:16-00:08:06]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: me culio
[2020:11:16-00:08:06]  (Global) -> ReizerB: venga Suso el no paspi
[2020:11:16-00:08:07]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: o
[2020:11:16-00:08:07]  (Local) -> (LOCAL)[2]PATRON: vamonos
[2020:11:16-00:08:09]  (Local) -> (LOCAL)[2]LDS-JuanPablo: vas de franco jhona
[2020:11:16-00:08:10]  (Local) -> (LOCAL)[1]LocaHp?Emeseta: la ultima
[2020:11:16-00:08:12]  (Local) -> (LOCAL)[2]CapuLiso: como q de 2 tiros me mata xd
[2020:11:16-00:08:12]  (Local) -> (LOCAL)[1]Z|tayson: qe paso
[2020:11:16-00:08:13]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: eres nueva?
[2020:11:16-00:08:13]  (Local) -> (LOCAL)[2]LDS-JhonatanTree: ok
[2020:11:16-00:08:16]  (Local) -> (LOCAL)[2]LDS-JuanPablo: agarrense duro
[2020:11:16-00:08:17]  (Local) -> (LOCAL)[1]Z|tayson: no tiene carro
[2020:11:16-00:08:18]  (Local) -> (LOCAL)[1][Z]Maicke: jajajajaj tiene que aprender asi, esas son las que mas usan
[2020:11:16-00:08:20]  (Global) -> sofia: mmaso
[2020:11:16-00:08:20]  (Local) -> (LOCAL)[1]Z|tayson: o que
[2020:11:16-00:08:20]  (Local) -> (LOCAL)[2]2cb.#Yimer100!: Tengo sawed ahora
[2020:11:16-00:08:21]  (Local) -> (LOCAL)[2]2cb.#Yimer100!: xd
[2020:11:16-00:08:23]  (Global) -> sofia: bye nene
[2020:11:16-00:08:25]  (Local) -> (LOCAL)[2]2cb.#Yimer100!: Q facil es con eso
[2020:11:16-00:08:26]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: bye
[2020:11:16-00:08:27]  (Local) -> (LOCAL)[1]CapuLiso: uy kieto
