This file was generated by Console at 2020:10:23-00:00:01



[2020:10:23-00:03:44]  (Local) -> (LOCAL)[2]2cb'Royal: ola
[2020:10:23-00:03:45]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Francine98: casi
[2020:10:23-00:03:46]  (Local) -> (LOCAL)[2]2cb'Royal: confirmo
[2020:10:23-00:03:47]  (Local) -> (LOCAL)[1](EVG)TU_DIOSA: pegese
[2020:10:23-00:03:50]  (Global) -> tameooh: gracias
[2020:10:23-00:03:50]  (Local) -> (LOCAL)[1]OLAVE: jjjja
[2020:10:23-00:03:53]  (Local) -> (LOCAL)[2]C4rtex: lo quitaron
[2020:10:23-00:03:53]  (Local) -> (LOCAL)[2]NELSON_MANDELA: d nd
[2020:10:23-00:03:57]  (Local) -> (LOCAL)[2]2cb'Escobar: veee
[2020:10:23-00:03:57]  (Local) -> (LOCAL)[1]OLAVE: jjja
[2020:10:23-00:03:59]  (Local) -> (LOCAL)[2][Z]Eldieguito: SALGA
[2020:10:23-00:03:59]  (Local) -> (LOCAL)[3]C4rtex: si
[2020:10:23-00:04:00]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: parley venezuela
[2020:10:23-00:04:03]  (Local) -> (LOCAL)[5](EVG)TU_DIOSA: esto
[2020:10:23-00:04:03]  (Local) -> (LOCAL)[2]2cb_SCRIMBOY: ola
[2020:10:23-00:04:04]  (Local) -> (LOCAL)[5]C4rtex: lo quitaron
[2020:10:23-00:04:04]  (Local) -> (LOCAL)[8]carlos: presio
[2020:10:23-00:04:05]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF0000Khausu: XDD
[2020:10:23-00:04:05]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: te lo ganaste pa?
[2020:10:23-00:04:05]  (Local) -> (LOCAL)[5][Z]Lil.Dream: mira
[2020:10:23-00:04:07]  (Local) -> (LOCAL)[2]GT|ElKevinnPai: pq
[2020:10:23-00:04:07]  (Local) -> (LOCAL)[2]2cb'Escobar: se me borro la tuneada
[2020:10:23-00:04:07]  (Global) -> 2cb-SuPerraMadre: SECRILLITA
[2020:10:23-00:04:11]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000Khausu: los q atropellan
[2020:10:23-00:04:12]  (Local) -> (LOCAL)[4]CAPU|Pajizo: kieren weed Owo?
[2020:10:23-00:04:14]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF0000Khausu: aproposito
[2020:10:23-00:04:14]  (Local) -> (LOCAL)[4]C4rtex: nooo nea
[2020:10:23-00:04:15]  (Global) -> [Z]Eldieguito: KEVIN NO ME MATE
[2020:10:23-00:04:15]  (Local) -> (LOCAL)[4](EVG)TU_DIOSA: con la suspencion queda la camara chimba
[2020:10:23-00:04:17]  (Global) -> tameooh: 7s
[2020:10:23-00:04:18]  (Local) -> (LOCAL)[4]NELSON_MANDELA: ben
[2020:10:23-00:04:18]  (Local) -> (LOCAL)[4]C4rtex: se me acabo
[2020:10:23-00:04:18]  (Global) -> |Yandrix|: fleteamos?
[2020:10:23-00:04:19]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: regalada?
