This file was generated by Console at 2021:01:23-00:00:00



[2021:01:23-00:03:41]  (Team - Unemployed) -> (TEAM)[Perico~|GT]: pare
[2021:01:23-00:03:42]  (Local) -> (LOCAL)[7]Buitre[2cB]: cai*
[2021:01:23-00:03:42]  (Local) -> (LOCAL)[2]69Kid: nea mera vuelta
[2021:01:23-00:03:42]  (Team - Unemployed) -> (TEAM)[Perico~|GT]: pare
[2021:01:23-00:03:43]  (Local) -> (LOCAL)[3]Sayayin'cmamo2013: oe+
[2021:01:23-00:03:43]  (Local) -> (LOCAL)[8]#00146C|#A4B5FFPROD#00146C|#0064FFDiaz: oE
[2021:01:23-00:03:44]  (Local) -> (LOCAL)[2]Cheverry: porq esta en AUC WFT
[2021:01:23-00:03:44]  (Team - Unemployed) -> (TEAM)[Perico~|GT]: pare
[2021:01:23-00:03:47]  (Local) -> (LOCAL)[3]DiscreetAbdomen4: mas rato
[2021:01:23-00:03:47]  (Local) -> (LOCAL)[5]Panther963'Sayayin: uy quieto
[2021:01:23-00:03:47]  (Local) -> (LOCAL)[2][I]ceWipe~|AK|: moveme
[2021:01:23-00:03:49]  (Local) -> (LOCAL)[2]69Kid: yo no se
[2021:01:23-00:03:49]  (Global) -> Anderson|AK|: oye
[2021:01:23-00:03:50]  (Team - Unemployed) -> (TEAM)alfonso: o
[2021:01:23-00:03:51]  (Local) -> (LOCAL)[2]BAZUKITO[Z]:3: es ganar las zonas que hay en san fierro contra otras gangs
[2021:01:23-00:03:51]  (Local) -> (LOCAL)[2]69Kid: JAJAJAJA
[2021:01:23-00:03:51]  (Local) -> (LOCAL)[8]2cbSamuelorland: me lleva al taller
[2021:01:23-00:03:51]  (Local) -> (LOCAL)[1]DonPini: bre
[2021:01:23-00:03:52]  (Local) -> (LOCAL)[3]Colombiahumana-GT: unanse a gt mas bn
[2021:01:23-00:03:52]  (Local) -> (LOCAL)[3]Panther963'Sayayin: mera bugueada xd
[2021:01:23-00:03:52]  (Local) -> (LOCAL)[3]Maradonio33: quitese hp
[2021:01:23-00:03:53]  (Local) -> (LOCAL)[3]Kegorrrr|CDP|: podes llevarme a la terminal de buses?
[2021:01:23-00:03:54]  (Local) -> (LOCAL)[3]alfonso: pablo crv pare
[2021:01:23-00:03:56]  (Local) -> (LOCAL)[7]#00146C|#A4B5FFPROD#00146C|#0064FFDiaz: Vamos
[2021:01:23-00:03:56]  (Local) -> (LOCAL)[2]Cheverry: qn lo metio?
[2021:01:23-00:03:58]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: ahhh
[2021:01:23-00:03:59]  (Local) -> (LOCAL)[4][O]reo~|GT: si
[2021:01:23-00:03:59]  (Local) -> (LOCAL)[8]2cbSamuelorland: le pago
[2021:01:23-00:04:00]  (Local) -> (LOCAL)[2]69Kid: doki
[2021:01:23-00:04:00]  (Global) -> El_ZAAARCOOO: bre
[2021:01:23-00:04:00]  (Local) -> (LOCAL)[1][Ak]ElFlechas: de rapi
[2021:01:23-00:04:01]  (Global) -> (RCA)LordSekrix: como pongo a traquear el cochesito?
[2021:01:23-00:04:02]  (Local) -> (LOCAL)[3][O]reo~|GT: Only GT
[2021:01:23-00:04:02]  (Local) -> (LOCAL)[2]69Kid: xd
[2021:01:23-00:04:02]  (Local) -> (LOCAL)[2]MR.MCLOVIN.3.0(CAPU: y q gana?
[2021:01:23-00:04:02]  (Local) -> (LOCAL)[2]Anndrew-lGT: una rosca ni la hijueputa la que tiene
