This file was generated by Console at 2020:11:14-00:00:00



[2020:11:14-00:05:20]  (Local) -> (LOCAL)[6]Tartarus: salvado
[2020:11:14-00:05:20]  (Local) -> (LOCAL)[0]PATRON: j
[2020:11:14-00:05:21]  (Local) -> (LOCAL)[2][EVG]Mr.chuga: NO GRAX
[2020:11:14-00:05:22]  (Local) -> (LOCAL)[2]Z-IceWipe: o cuenta de ligof leyen
[2020:11:14-00:05:22]  (Local) -> (LOCAL)[17]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:23]  (Local) -> (LOCAL)[17]Liso: vergacion
[2020:11:14-00:05:24]  (Team - Unemployed) -> (TEAM)2cb'Copernico: TXd++
[2020:11:14-00:05:25]  (Global) -> 2cb'Copernico: xdd
[2020:11:14-00:05:26]  (Local) -> (LOCAL)[7]|Z|~$Fabio_vidal69$:)~: grax
[2020:11:14-00:05:27]  (Local) -> (LOCAL)[19]2cb'Copernico: quede asi mira
[2020:11:14-00:05:29]  (Local) -> (LOCAL)[20]2cb'Copernico: asi quede
[2020:11:14-00:05:31]  (Local) -> (LOCAL)[18]2cb'ratix: donde esta un tal tussy
[2020:11:14-00:05:31]  (Global) -> 2cb'Copernico: JAJAJAJAJA
[2020:11:14-00:05:33]  (Global) -> 2cb'BEBESITA: patos
[2020:11:14-00:05:36]  (Local) -> (LOCAL)[18]Liso: desbaneame tussy perra
[2020:11:14-00:05:36]  (Global) -> 2cb'BEBESITA: sob chos hps
[2020:11:14-00:05:37]  (Local) -> (LOCAL)[18]2cb'ratix: pa darle unos traques
[2020:11:14-00:05:41]  (Local) -> (LOCAL)[6][Z]DanielFly: fabio caiga a dc
[2020:11:14-00:05:41]  (Global) -> 2cb'BEBESITA: salganuno por uno
[2020:11:14-00:05:42]  (Local) -> (LOCAL)[19]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:44]  (Local) -> (LOCAL)[19]Liso: desbaneame tussy perra
[2020:11:14-00:05:44]  (Global) -> {S.A.S}CABO}PAULO: aaa como mela manda
[2020:11:14-00:05:45]  (Local) -> (LOCAL)[1]PATRON: sdonde
[2020:11:14-00:05:45]  (Local) -> (LOCAL)[19]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:45]  (Local) -> (LOCAL)[6]|Z|~$Fabio_vidal69$:)~: se me acabo el vip:(
[2020:11:14-00:05:46]  (Local) -> (LOCAL)[19]#005F55|#00D3BDLG#005F55|#FF00002cb'tussy: AHORITA
[2020:11:14-00:05:46]  (Local) -> (LOCAL)[19]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:48]  (Local) -> (LOCAL)[19]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:48]  (Local) -> (LOCAL)[1]GT|PoliciaNacionalDeSF: q
[2020:11:14-00:05:48]  (Local) -> (LOCAL)[5]MontesSicario: XD
[2020:11:14-00:05:49]  (Local) -> (LOCAL)[19]Liso: desbaneame tussy perra
[2020:11:14-00:05:49]  (Local) -> (LOCAL)[19]2cb'dilam: LISOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
[2020:11:14-00:05:49]  (Local) -> (LOCAL)[5]Z-IceWipe: apgue
[2020:11:14-00:05:50]  (Local) -> (LOCAL)[4]MontesSicario: a ver
[2020:11:14-00:05:50]  (Local) -> (LOCAL)[5]Z-IceWipe: pague
[2020:11:14-00:05:51]  (Global) -> |DJ|Pastelo:(: XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
[2020:11:14-00:05:52]  (Global) -> #7F7F7F|CVR|#0064FFXhnGuaracha: SIEMPRE ME HACE RECLAMOS
[2020:11:14-00:05:52]  (Local) -> (LOCAL)[4]Z-IceWipe: pague
[2020:11:14-00:05:52]  (Local) -> (LOCAL)[1]PATRON: donde consigo ese carro
[2020:11:14-00:05:53]  (Local) -> (LOCAL)[3]|Z|~$Fabio_vidal69$:)~: no puedo usar z:(((
[2020:11:14-00:05:53]  (Local) -> (LOCAL)[19]Radial[2cb]: ff
[2020:11:14-00:05:54]  (Local) -> (LOCAL)[4]Z-IceWipe: pague
[2020:11:14-00:05:56]  (Local) -> (LOCAL)[19]Radial[2cb]: que tema
