This file was generated by Console at 2020:10:18-00:00:10



[2020:10:18-00:11:19]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 lauraaa:(: nao nao
[2020:10:18-00:11:20]  (Global) -> [Z]DanielFly: carteleado
[2020:10:18-00:11:22]  (Global) -> 2cb'Aliasg8: bank
[2020:10:18-00:11:23]  (Local) -> (LOCAL)[18]2cb'Jolyne: vealo vealo
[2020:10:18-00:11:26]  (Local) -> (LOCAL)[18]2cb'Jolyne: jajajja
[2020:10:18-00:11:27]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: te desbaneo
[2020:10:18-00:11:29]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: bala
[2020:10:18-00:11:29]  (Local) -> (LOCAL)[18]2cb'LILPUSSY: hey tirbi que
[2020:10:18-00:11:29]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 lauraaa:(: perdon
[2020:10:18-00:11:31]  (Local) -> (LOCAL)[18]#7F7F7F|CVR|#FF7C00 Zllanerito: xde
[2020:10:18-00:11:33]  (Local) -> (LOCAL)[18]2cb'Jolyne: desocupao
[2020:10:18-00:11:33]  (Local) -> (LOCAL)[19]Tribilin: OLA
[2020:10:18-00:11:38]  (Local) -> (LOCAL)[2]Parrita: y ahora?
[2020:10:18-00:11:42]  (Global) -> Elreybobert: oye
[2020:10:18-00:11:45]  (Local) -> (LOCAL)[18]2cb'Jolyne: llanerito
[2020:10:18-00:11:46]  (Team - Law Enforcement) -> (TEAM)[S.A.S][CAD]Rodriguez: QUE PASO LUEGO
[2020:10:18-00:11:50]  (Local) -> (LOCAL)[2][S.A.S][CAD]Coziud: voy a reportar el fallo
[2020:10:18-00:11:54]  (Local) -> (LOCAL)[16]#7F7F7F|CVR|#FF7C00 Zllanerito: la verdad no vi el reporte
[2020:10:18-00:11:58]  (Global) -> [GT]Santiago: #FFFF00Arango DONDE ESTA
[2020:10:18-00:11:59]  (Local) -> (LOCAL)[17]#7F7F7F|CVR|#FF7C00 Zllanerito: dime joyle
[2020:10:18-00:12:04]  (Local) -> (LOCAL)[2]Parrita: se borro la ruta
[2020:10:18-00:12:06]  (Global) -> Arango: trabajando pa
[2020:10:18-00:12:12]  (Local) -> (LOCAL)[2][S.A.S][CAD]Coziud: cadete maneja mientras reporto
[2020:10:18-00:12:13]  (Team - Law Enforcement) -> (TEAM)[S.A.S][CAD]Rodriguez: AHH UY ALGUN ERROR
[2020:10:18-00:12:14]  (Global) -> 2cb*care_loco: oe
