This file was generated by Console at 2020:12:08-00:00:02



[2020:12:08-00:07:23]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: espera que me quiten todo
[2020:12:08-00:07:24]  (Local) -> (LOCAL)[2][Z]stivenv28|LP: ish
[2020:12:08-00:07:25]  (Local) -> (LOCAL)[8][BGW]Ragnarok: para eso me revienta el carro?
[2020:12:08-00:07:30]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: XDD
[2020:12:08-00:07:33]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: XDDD
[2020:12:08-00:07:34]  (Local) -> (LOCAL)[1]2cbLocaHp: enga kebin
[2020:12:08-00:07:44]  (Local) -> (LOCAL)[1][2CB]KEVIN: adonde
[2020:12:08-00:07:45]  (Local) -> (LOCAL)[1]2cbLocaHp: vamos a turf
[2020:12:08-00:07:45]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Me salvó la peluqueada pa
[2020:12:08-00:07:49]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00KRcatre: un vago con 30 palos
[2020:12:08-00:07:51]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: añañay
[2020:12:08-00:07:54]  (Global) -> 2cb/ARETE: alque vea quemando polvora lo encano
[2020:12:08-00:07:57]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: motilado gracias cvr
[2020:12:08-00:07:59]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: jajaja
[2020:12:08-00:08:02]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Sisas xddd
[2020:12:08-00:08:07]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ale envia
[2020:12:08-00:08:07]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: VALLU
[2020:12:08-00:08:07]  (Global) -> [2CB]KEVIN: francovillar
[2020:12:08-00:08:10]  (Global) -> |DJ|[Z]_VALLUCRISTO_: HOLA MEGU
[2020:12:08-00:08:11]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: dame lo que tienes
[2020:12:08-00:08:12]  (Local) -> (LOCAL)[1]2cb|Woch: como jue
[2020:12:08-00:08:14]  (Local) -> (LOCAL)[8][Z]stivenv28|LP: añañai
[2020:12:08-00:08:14]  (Global) -> Diaz: Como se esconde elk mapa dew la pantalla?
[2020:12:08-00:08:15]  (Local) -> (LOCAL)[8]Dr.biscocho: hay fista o que?
[2020:12:08-00:08:17]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: pa bajar estos -94
[2020:12:08-00:08:19]  (Local) -> (LOCAL)[8]Salomierda: obvio
[2020:12:08-00:08:20]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Ya?
[2020:12:08-00:08:22]  (Local) -> (LOCAL)[1]2cb|Woch: y los demas
[2020:12:08-00:08:22]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: siks
[2020:12:08-00:08:22]  (Local) -> (LOCAL)[1][2CB]KEVIN: y que gana uno con eso
[2020:12:08-00:08:23]  (Global) -> |DJ|[Z]_VALLUCRISTO_: Claro amigo
[2020:12:08-00:08:27]  (Local) -> (LOCAL)[8][Z]stivenv28|LP: paseo de olla?
[2020:12:08-00:08:28]  (Local) -> (LOCAL)[1]Dduquejh: ni idea
[2020:12:08-00:08:30]  (Global) -> #7F7F7F|CVR|#FF5C00|!Megu: gracias amigo
[2020:12:08-00:08:32]  (Local) -> (LOCAL)[8]Salomierda: dale papiiiii
[2020:12:08-00:08:35]  (Global) -> lGGl.MADUR0: HOLA CHICOS COMO ESTAN
[2020:12:08-00:08:36]  (Local) -> (LOCAL)[8]Dr.biscocho: como se baila?
[2020:12:08-00:08:38]  (Local) -> (LOCAL)[1]2cb|Woch: sisas
[2020:12:08-00:08:40]  (Global) -> [Z]stivenv28|LP: #288228 Salen_Luu en twitch
[2020:12:08-00:08:41]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00ReizerB: pisa k
[2020:12:08-00:08:46]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Listo
[2020:12:08-00:08:50]  (Local) -> (LOCAL)[1]2cb|Woch: voy aver que carros vende por aca
[2020:12:08-00:08:51]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: espera
[2020:12:08-00:09:00]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: uy quieto
[2020:12:08-00:09:01]  (Local) -> (LOCAL)[2]2cbLocaHp: sin temor pa
[2020:12:08-00:09:01]  (Global) -> Guarachera: Como puedo comprar en el sistema de accesorios :c
[2020:12:08-00:09:02]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: falta jajaja
[2020:12:08-00:09:02]  (Local) -> (LOCAL)[13][Z]stivenv28|LP: paseo de olla?
[2020:12:08-00:09:02]  (Local) -> (LOCAL)[13]2cbLocaHp: vamos
[2020:12:08-00:09:04]  (Global) -> [2CB]KEVIN: francovillar .
[2020:12:08-00:09:05]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Apenas mandó 5 palos
[2020:12:08-00:09:06]  (Local) -> (LOCAL)[13]2cb'Jolyne: breve
[2020:12:08-00:09:06]  (Local) -> (LOCAL)[13]2cbLocaHp: lesgo
[2020:12:08-00:09:08]  (Local) -> (LOCAL)[13]2cB"elTrakegunz_|DDF|: asies
[2020:12:08-00:09:08]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Que falla
[2020:12:08-00:09:08]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: aja
[2020:12:08-00:09:10]  (Local) -> (LOCAL)[13]2cb'Jolyne: no se baje
[2020:12:08-00:09:11]  (Local) -> (LOCAL)[13]2cbLocaHp: al aero
[2020:12:08-00:09:16]  (Local) -> (LOCAL)[13]2cbLocaHp: ah ust tiene tele xd
[2020:12:08-00:09:17]  (Local) -> (LOCAL)[13][Z]stivenv28|LP: ojo
[2020:12:08-00:09:18]  (Local) -> (LOCAL)[13]Salomierda: bb
[2020:12:08-00:09:20]  (Local) -> (LOCAL)[13]Dr.biscocho: a darlo todo papi
[2020:12:08-00:09:20]  (Local) -> (LOCAL)[1][BGW]Ragnarok: a mi tampoco me sale
[2020:12:08-00:09:24]  (Local) -> (LOCAL)[1][BGW]Ragnarok: sale muy caro
[2020:12:08-00:09:25]  (Local) -> (LOCAL)[12]Salomierda: si quieres que nos cacemos
[2020:12:08-00:09:31]  (Local) -> (LOCAL)[11]Salomierda: bailamelo
[2020:12:08-00:09:33]  (Global) -> |DJ|[Z]_VALLUCRISTO_: Ahora si
[2020:12:08-00:09:36]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: pere
[2020:12:08-00:09:36]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: En tab pille
[2020:12:08-00:09:41]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: a
[2020:12:08-00:09:44]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: mero crack
[2020:12:08-00:09:46]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: XDDD
[2020:12:08-00:09:47]  (Global) -> [Z]stivenv28|LP: #288228 Salen_Luu en twitch
[2020:12:08-00:09:51]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Listo?
[2020:12:08-00:09:52]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: gracias tqm
[2020:12:08-00:09:53]  (Global) -> Salomierda: TKM
[2020:12:08-00:09:53]  (Local) -> (LOCAL)[1]2cbLocaHp: ah wtf
[2020:12:08-00:09:55]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: un placer
[2020:12:08-00:09:55]  (Local) -> (LOCAL)[1]2cb'Jolyne: si eso hice
[2020:12:08-00:09:57]  (Local) -> (LOCAL)[1]2cbLocaHp: bn vamos
[2020:12:08-00:09:57]  (Local) -> (LOCAL)[1]2cb'Jolyne: jajajaj
[2020:12:08-00:09:58]  (Local) -> (LOCAL)[1]|DJ|[Z]_VALLUCRISTO_: Gracias a ud pa
[2020:12:08-00:10:01]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: ale
[2020:12:08-00:10:01]  (Local) -> (LOCAL)[1]2cbLocaHp: jsss
[2020:12:08-00:10:25]  (Local) -> (LOCAL)[11]2cb/ARETE: hp que sancocho tan gueno
[2020:12:08-00:10:36]  (Local) -> (LOCAL)[1]2cb|Woch: casi me matan
[2020:12:08-00:10:37]  (Local) -> (LOCAL)[12][2CB]KEVIN: franco
[2020:12:08-00:10:38]  (Local) -> (LOCAL)[1]Dduquejh: sube
[2020:12:08-00:10:38]  (Local) -> (LOCAL)[11]Dr.biscocho: sancochoo
[2020:12:08-00:10:44]  (Local) -> (LOCAL)[11]Dr.biscocho: eee
[2020:12:08-00:10:46]  (Global) -> 2cb'pinina: algún staff
[2020:12:08-00:10:47]  (Local) -> (LOCAL)[11][Z]stivenv28|LP: /sancocho
[2020:12:08-00:10:47]  (Global) -> Guarachera: ojo
[2020:12:08-00:10:56]  (Global) -> [EVG]juann: 5/sancocho
[2020:12:08-00:10:59]  (Global) -> 2cbLocaHp: pinina pitobo
[2020:12:08-00:11:03]  (Global) -> 2cbLocaHp: pinina pirobo*
[2020:12:08-00:11:06]  (Global) -> 2cb'pinina: pitobo
[2020:12:08-00:11:08]  (Global) -> 2cbLocaHp: js
[2020:12:08-00:11:08]  (Global) -> 2cb'pinina: ya voy 
[2020:12:08-00:11:09]  (Local) -> (LOCAL)[13][2CB]KEVIN: franco
[2020:12:08-00:11:09]  (Global) -> 2cbLocaHp: llegue
[2020:12:08-00:11:12]  (Local) -> (LOCAL)[13]|DJ|[Z]_VALLUCRISTO_: Me das basuca?
[2020:12:08-00:11:26]  (Local) -> (LOCAL)[13]lGGl.MADUR0: ujuuuuuuuuuuuuu
[2020:12:08-00:11:29]  (Local) -> (LOCAL)[13][Z]stivenv28|LP: añañai
[2020:12:08-00:11:43]  (Global) -> 2cb'pinina: algún staff
[2020:12:08-00:11:47]  (Global) -> #7F7F7F|CVR|#FFFF00Khausu: Digame
[2020:12:08-00:11:53]  (Local) -> (LOCAL)[14][Z]stivenv28|LP: velitas
[2020:12:08-00:11:53]  (Global) -> 2cb'pinina: me handlea la mula?
[2020:12:08-00:11:57]  (Global) -> #7F7F7F|CVR|#FFFF00Khausu: No
[2020:12:08-00:11:59]  (Local) -> (LOCAL)[14]Dr.biscocho: estoy perreando con el salo
[2020:12:08-00:12:04]  (Local) -> (LOCAL)[2][2CB]KEVIN: hola
[2020:12:08-00:12:13]  (Global) -> 2cb'Jolyne: qn me handlea la cola
