This file was generated by Console at 2020:12:09-00:00:01



[2020:12:09-00:05:33]  (Local) -> (LOCAL)[9]WillowA.C.A.B: me presento soy havker
[2020:12:09-00:05:36]  (Local) -> (LOCAL)[2]C4rtex: me llevo el vicio
[2020:12:09-00:05:36]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: passe por aqui
[2020:12:09-00:05:38]  (Local) -> (LOCAL)[4]|Escolta|Soltec: ojo
[2020:12:09-00:05:41]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: le da ala x
[2020:12:09-00:05:41]  (Local) -> (LOCAL)[4]|Escolta|Soltec: a
[2020:12:09-00:05:42]  (Local) -> (LOCAL)[2]2cbfrancovillar: ebndo carros
[2020:12:09-00:05:42]  (Local) -> (LOCAL)[8][2CB]KEVIN: patron
[2020:12:09-00:05:42]  (Global) -> _jimenez: jajajajaj
[2020:12:09-00:05:47]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Patches: bueno bueno que ha pasado
[2020:12:09-00:05:47]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: wn es que no hay nadie jugando
[2020:12:09-00:05:47]  (Local) -> (LOCAL)[9]WillowA.C.A.B: oe pues patron
[2020:12:09-00:05:48]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: y si nopgag
[2020:12:09-00:05:48]  (Local) -> (LOCAL)[1]2cB"elTrakegunz_|DDF|: osi osi
[2020:12:09-00:05:48]  (Team - Criminals) -> (TEAM)2cbfrancovillar: bendo
[2020:12:09-00:05:48]  (Local) -> (LOCAL)[3]AlluringShrimp60: mano soy nuevo
[2020:12:09-00:05:49]  (Local) -> (LOCAL)[2]C4rtex: oiga
[2020:12:09-00:05:49]  ([Msg] de W/4 para BryanConnor: Hola) -> nil
[2020:12:09-00:05:50]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: q paja
[2020:12:09-00:05:54]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: nada pa andaba haciendo negocios
[2020:12:09-00:05:54]  (Local) -> (LOCAL)[8][2CB]KEVIN: patron
[2020:12:09-00:05:54]  (Local) -> (LOCAL)[2]C4rtex: como q es de millonarios
[2020:12:09-00:05:56]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: peague
[2020:12:09-00:05:59]  ([Msg] de W/4 para BryanConnor: oye tienes gang?) -> nil
[2020:12:09-00:06:00]  (Local) -> (LOCAL)[5]2cbfrancovillar: oe
[2020:12:09-00:06:01]  (Local) -> (LOCAL)[2]C4rtex: no copeo de nada
[2020:12:09-00:06:02]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00JIBARO_KRcatre: ese vago orgalor ando todo azotado
[2020:12:09-00:06:02]  (Global) -> Ragnarok: se vende droga en el callejon de ammunation 
[2020:12:09-00:06:02]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Patches: eso hp
[2020:12:09-00:06:02]  (Global) -> BryanConnor: diga
[2020:12:09-00:06:05]  (Local) -> (LOCAL)[6]AlluringShrimp60: hijueputa
[2020:12:09-00:06:07]  (Local) -> (LOCAL)[1]|Z|BAZUCO[LP]: sisas no hay con quien parchar
[2020:12:09-00:06:08]  (Local) -> (LOCAL)[2]C4rtex: solo nacional pa
[2020:12:09-00:06:10]  (Global) -> _Juan_: jjjjjjjjjjjjjjjjjjja
[2020:12:09-00:06:11]  (Local) -> (LOCAL)[8][2CB]KEVIN: patron le tengo su regalo
[2020:12:09-00:06:11]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Patches: que pasó
[2020:12:09-00:06:12]  (Global) -> BryanConnor: uy pa 
[2020:12:09-00:06:12]  ([Msg] de W/4 para BryanConnor: habla con el /mp) -> nil
[2020:12:09-00:06:13]  (Local) -> (LOCAL)[8]WillowA.C.A.B: PATRON
[2020:12:09-00:06:14]  (Global) -> (EVG)GustavoPetro: sisisisisis
[2020:12:09-00:06:15]  (Local) -> (LOCAL)[5]2cbfrancovillar: bendo carro
[2020:12:09-00:06:16]  (Global) -> Ragnarok: nada de tomba
[2020:12:09-00:06:19]  (Global) -> BryanConnor: solo capital de resto es loma
[2020:12:09-00:06:19]  (Local) -> (LOCAL)[2]C4rtex: donde toca darnos duro
[2020:12:09-00:06:20]  (Local) -> (LOCAL)[8]WillowA.C.A.B: HAY UN MAN Q ESTA DE LOKA
[2020:12:09-00:06:21]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF5C00Patches: ¿para trabagar?
[2020:12:09-00:06:22]  (Global) -> LocaHp|2cb|: *se poposea de risa*
[2020:12:09-00:06:24]  (Global) -> 2cB"elTrakegunz_|DDF|: el rap de fernanfloo
[2020:12:09-00:06:25]  (Global) -> 2cB"elTrakegunz_|DDF|: el rap de fernanfloo
[2020:12:09-00:06:26]  (Local) -> (LOCAL)[2]C4rtex: como dices
[2020:12:09-00:06:27]  (Global) -> 2cbfrancovillar: bendo carros
[2020:12:09-00:06:27]  (Local) -> (LOCAL)[5](Zetas)_Hir0: juan
[2020:12:09-00:06:32]  (Local) -> (LOCAL)[2]C4rtex: salga y nos damos en la jeta
[2020:12:09-00:06:32]  (Local) -> (LOCAL)[1]|DJ|CAPU|DoctorUribe: veamos pa donde cojemos
[2020:12:09-00:06:34]  (Global) -> BryanConnor: como es pa pararnos entonces por los colores
[2020:12:09-00:06:34]  (Local) -> (LOCAL)[7][2CB]KEVIN: venga patron
[2020:12:09-00:06:34]  (Global) -> 2cB"elTrakegunz_|DDF|: flofloflofloflo
[2020:12:09-00:06:35]  (Local) -> (LOCAL)[7]WillowA.C.A.B: Y URIBE LO PUSO EN EL PODER
[2020:12:09-00:06:35]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: pero es para trabagar sion o
[2020:12:09-00:06:37]  (Global) -> 2cB"elTrakegunz_|DDF|: el rap de fernanfloo
[2020:12:09-00:06:37]  (Global) -> 2cbfrancovillar: camion para trabagar
[2020:12:09-00:06:38]  (Global) -> 2cB"elTrakegunz_|DDF|: el rap de fernanfloo
[2020:12:09-00:06:40]  (Global) -> 2cB"elTrakegunz_|DDF|: flofloflofloflo
[2020:12:09-00:06:42]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: a cunto
[2020:12:09-00:06:44]  (Global) -> C4rtex: pintelas q yo se las coloreo lok
[2020:12:09-00:06:44]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: la road
[2020:12:09-00:06:48]  (Local) -> (LOCAL)[6][2CB]KEVIN: venga le doy su regalo
[2020:12:09-00:06:48]  (Local) -> (LOCAL)[6]WillowA.C.A.B: URIBE GONORREA
[2020:12:09-00:06:51]  (Team - Criminals) -> (TEAM)2cbfrancovillar: carros 
[2020:12:09-00:06:51]  (Local) -> (LOCAL)[1]Ragnarok: PA
[2020:12:09-00:06:55]  (Global) -> 2cbfrancovillar:  camion
[2020:12:09-00:06:57]  (Global) -> #7F7F7F|CVR|#FF5C00Patches: toma
[2020:12:09-00:06:57]  (Global) -> 2cB"elTrakegunz_|DDF|: miles de laiks
[2020:12:09-00:06:58]  (Local) -> (LOCAL)[6](2bC)-Santi_Adams: la bna patron
[2020:12:09-00:07:00]  (Local) -> (LOCAL)[1]CAPU-elperrohpta: epa
[2020:12:09-00:07:00]  (Global) -> 2cB"elTrakegunz_|DDF|: el rap de fernanfloo
[2020:12:09-00:07:01]  (Local) -> (LOCAL)[6][2CB]KEVIN: patron
[2020:12:09-00:07:02]  (Global) -> 2cB"elTrakegunz_|DDF|: miles de laiks
