This file was generated by Console at 2020:09:17-00:00:00



[2020:09:17-00:03:35]  (Global) -> [BGW]V1OL4BURR4S: ya voy
[2020:09:17-00:03:35]  (Local) -> (LOCAL)[1]GT|~Beltran: perame, que mi ama me llama
[2020:09:17-00:03:36]  (Global) -> thepredator555: :,c
[2020:09:17-00:03:37]  (Local) -> (LOCAL)[35](CT.S)menorpatecumbias: loctar
[2020:09:17-00:03:38]  (Local) -> (LOCAL)[36]Hector: Epa
[2020:09:17-00:03:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Subdito pregunta: Quien esta en la radaio
[2020:09:17-00:03:40]  (Global) -> (BGW)ItsAlexys: grax
[2020:09:17-00:03:40]  (Local) -> (LOCAL)[8]PapuCalicheRoketasos: q
[2020:09:17-00:03:40]  (Global) -> DonDiego: yo no explote nada 
[2020:09:17-00:03:40]  (Global) -> (BGW)arquero076tenaz: ya
[2020:09:17-00:03:41]  (Local) -> (LOCAL)[35](CT.S)menorpatecumbias: pareja?
[2020:09:17-00:03:41]  (Local) -> (LOCAL)[35][GT]Loctar12: dime
[2020:09:17-00:03:42]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Tussy: su mama
[2020:09:17-00:03:42]  (Local) -> (LOCAL)[1]horacio: es por atras
[2020:09:17-00:03:45]  (Local) -> (LOCAL)[8]Ohhhh: gff
[2020:09:17-00:03:45]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF7C00 ReizerB: que gracioso
[2020:09:17-00:03:46]  (Global) -> [EVG]AndresLaMole: tu y yo brop?
[2020:09:17-00:03:47]  (Local) -> (LOCAL)[1]horacio: con inpulso
[2020:09:17-00:03:49]  (Local) -> (LOCAL)[4]Chirretico: tussy a ud a cuantos fps le va
[2020:09:17-00:03:50]  (Global) -> (BGW)ITZENIT: que de se quieto
[2020:09:17-00:03:50]  (Global) -> [S.A.S][Cad]sebas202: quien cion migo
[2020:09:17-00:03:51]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: nea esos insultos lo hacen niños de primaria
[2020:09:17-00:03:52]  (Local) -> (LOCAL)[37][GT]Loctar12: no entiendo la pregunta xd
[2020:09:17-00:03:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Por dios
[2020:09:17-00:03:52]  (Local) -> (LOCAL)[37](CT.S)menorpatecumbias: para el eevento?
[2020:09:17-00:03:54]  (Local) -> (LOCAL)[2]tussy: 60
[2020:09:17-00:03:54]  (Local) -> (LOCAL)[2]|Tiagosky|: ´por que no salen lasskins personalisadasxd
[2020:09:17-00:03:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: Ofenderse por eso
[2020:09:17-00:03:55]  (Local) -> (LOCAL)[35]AlecU3: yo
[2020:09:17-00:03:56]  (Local) -> (LOCAL)[35][Z]GualdronSenpai: Alguno quiere pareja?
[2020:09:17-00:03:57]  (Local) -> (LOCAL)[41]DONPARMENIO: breve
[2020:09:17-00:03:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: ...
[2020:09:17-00:03:58]  (Global) -> [GT]Loctar12: uaaaa
[2020:09:17-00:03:58]  (Local) -> (LOCAL)[2]Chirretico: ish
