This file was generated by Console at 2021:02:09-00:00:01



[2021:02:09-00:06:03]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Orgalor|AUC: nea solo los lv 4 o 5 pueden
[2021:02:09-00:06:06]  (Local) -> (LOCAL)[7]#7F7F7F|ADM|#FF5C00Orgalor|AUC: szs
[2021:02:09-00:06:08]  (Local) -> (LOCAL)[6]Apu_N: ;c
[2021:02:09-00:06:10]  (Global) -> Flaco|2cb: TOreto
[2021:02:09-00:06:11]  (Global) -> jose25=): donde esta pablo alguien sabe
[2021:02:09-00:06:11]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000CrudoMeansRaw|EVG|: eestan en la radio?
[2021:02:09-00:06:11]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Orgalor|AUC: llama a lopez
[2021:02:09-00:06:13]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF0000Tra2cb: ola bala
[2021:02:09-00:06:13]  (Local) -> (LOCAL)[2]Jaguer_YT(RCA): oe
[2021:02:09-00:06:15]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Orgalor|AUC: y tiki
[2021:02:09-00:06:16]  (Local) -> (LOCAL)[6]ZEUS: lo
[2021:02:09-00:06:17]  (Global) -> pabl0escobar: gracias
[2021:02:09-00:06:17]  (Local) -> (LOCAL)[3]DIPOL|Sendobeta: cureme
[2021:02:09-00:06:18]  (Global) -> (SANTIAGO)(Z): quien abla asi jejeje
[2021:02:09-00:06:20]  (Local) -> (LOCAL)[10]santiago_miguel[GT]: COMO ME SUBO ASI
[2021:02:09-00:06:20]  (Local) -> (LOCAL)[2]Jaguer_YT(RCA): socio
[2021:02:09-00:06:22]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF5C00Orgalor|AUC: vale
[2021:02:09-00:06:22]  (Global) -> pabl0escobar: nos fuimos
[2021:02:09-00:06:23]  (Global) -> ZEUS: Lopez necesito de tu ayuda
[2021:02:09-00:06:27]  (Local) -> (LOCAL)[2]Jaguer_YT(RCA): le tengo una sorpresa
[2021:02:09-00:06:27]  (Global) -> Flaco|2cb: Quedese alla
[2021:02:09-00:06:29]  (Global) -> #7F7F7F|ADM|#FF0000LopezMayweather: RicardoJorge|EVG| Disculpa, ¿de casualidad no tendremos algún amigo en común que pueda presentarnos?
[2021:02:09-00:06:31]  (Global) -> (SANTIAGO)(Z): jajajajajaja
[2021:02:09-00:06:33]  (Local) -> (LOCAL)[2]Jaguer_YT(RCA): no se baje
[2021:02:09-00:06:36]  (Global) -> #7F7F7F|ADM||LG|#FF0000RicardoJorge|EVG|: JAJAJAJAJAJAJAJAJAJ
